,end,start,text,season,episode,norm_text
120,349.614,346.88,"...And the husband says,
""who paid you a nickel?""",26,01,and the husband says who paid you a nickel
121,351.382,349.616,"And the wife says,
""everybody.""",26,01,and the wife says everybody
122,352.75,351.384,(laughs),26,01,laughs
123,355.62,353.687,"Oh, sorry,
wrong for this audience.",26,01,oh sorry wrong for this audience
124,357.755,355.622,"I thought swapper jack's
was something else.",26,01,i thought swapper jacks was something else
125,361.226,358.992,"Krusty, sorry
about the roast.",26,01,krusty sorry about the roast
126,363.728,361.228,"They had no right to say
those hilarious things.",26,01,they had no right to say those hilarious things
127,366.497,363.73,"How could they say
i'm past my prime?",26,01,how could they say im past my prime
128,368.8,366.499,Me-- the voice of ovaltine.,26,01,me the voice of ovaltine
129,370.635,368.802,"Krusty, why don't you
talk to your dad?",26,01,krusty why dont you talk to your dad
130,372.47,370.637,"He'll cheer you up.
He's a rabbi.",26,01,hell cheer you up hes a rabbi
131,374.405,372.472,"He must've learned something
from that giant star scroll",26,01,he mustve learned something from that giant star scroll
132,375.673,374.407,He's always reading.,26,01,hes always reading
133,378.81,375.675,"Kid, does talking to your dad
make you feel better?",26,01,kid does talking to your dad make you feel better
134,380.845,378.812,"Well, no, but he's not a rabbi.",26,01,well no but hes not a rabbi
135,383.147,380.847,"More of a flabbi.
(snorts, laughs)",26,01,more of a flabbi snorts laughs
136,386.05,383.149,"Why, you little...
I'll show you who's a flabbi!",26,01,why you little ill show you whos a flabbi
137,387.518,386.052,(grunting),26,01,grunting
138,388.887,387.52,"(muffled):
No, you're not a flabbi!",26,01,muffled no youre not a flabbi
139,390.221,388.889,"Yeah, all muscle.",26,01,yeah all muscle
140,393.091,390.223,"In minnesota,
i'd be a supermodel.
Okay, i got it.",26,01,in minnesota id be a supermodel okay i got it
141,399.264,395.161,"So, basically, i came here
so you could tell me the truth--",26,01,so basically i came here so you could tell me the truth
142,400.665,399.266,That i'm great.,26,01,that im great
143,404.002,400.667,"As the torah says:
Judgment belongs to god.",26,01,as the torah says judgment belongs to god
144,405.837,404.004,"The torah also says
you can't eat ham,",26,01,the torah also says you cant eat ham
145,407.906,405.839,"And i'm the spokesman
for hamco ham.",26,01,and im the spokesman for hamco ham
146,410.842,407.908,"This is why i only call you
on christmas and easter.",26,01,this is why i only call you on christmas and easter
147,412.777,410.844,"Wait, wait, wait. Please, dad.",26,01,wait wait wait please dad
148,414.712,412.779,Do you even think i'm funny?,26,01,do you even think im funny
149,416.08,414.714,"I'm not gonna lie
to you, for funny,",26,01,im not gonna lie to you for funny
150,417.682,416.082,I prefer rabbi rudenstein.,26,01,i prefer rabbi rudenstein
151,420.919,417.684,"He puts the ""ha"" in hanukah
and the ""levity"" in leviticus.",26,01,he puts the ha in hanukah and the levity in leviticus
152,422.854,420.921,"As for you, son,
if you want to know",26,01,as for you son if you want to know
153,426.925,422.856,"My honest opinion of you,
you've always been... Eh.",26,01,my honest opinion of you youve always been eh
154,428.76,426.927,Go on.,26,01,go on
155,431.996,428.762,"I've always been
""eh... Ntertaining""?",26,01,ive always been eh ntertaining
156,434.532,433.099,Dad?,26,01,dad
157,438.369,436.77,Show me nose fog.,26,01,show me nose fog
158,442.073,440.206,"Oh, god, he's dead.",26,01,oh god hes dead
159,445.109,442.075,"And he never lived
to see me be successful.",26,01,and he never lived to see me be successful
160,447.045,445.111,(sobbing),26,01,sobbing
161,456.888,454.821,<i>A pusten fas hilcht hecher.</i>,26,01,ia pusten fas hilcht hecheri
162,459.59,456.89,"""an empty barrel
reverberates loudly.""",26,01,an empty barrel reverberates loudly
163,462.226,459.592,"And today, my heart
is that barrel.",26,01,and today my heart is that barrel
164,465.296,462.228,"Even though my father and i
had our difficulties,",26,01,even though my father and i had our difficulties
165,467.465,465.298,(sobs) he was a great man.,26,01,sobs he was a great man
166,469.567,467.467,"And, well, he always...",26,01,and well he always
167,472.837,471.171,"Wha?
Eh.",26,01,wha eh
168,474.605,472.839,"Eh.
Eh.
Eh.",26,01,eh eh eh
169,477.208,474.607,"Eh.
Eh.
Eh.",26,01,eh eh eh
170,482.146,481.181,(sighs),26,01,sighs
171,483.648,482.148,"Look, i'm an entertainer.",26,01,look im an entertainer
172,486.818,483.65,"So maybe the best way to say
how i feel about my dad",26,01,so maybe the best way to say how i feel about my dad
173,488.653,486.82,Is through a song,26,01,is through a song
174,491.489,488.655,"That someone else wrote
that i hired people to sing.",26,01,that someone else wrote that i hired people to sing
175,493.124,491.491,"This is for you, dad.",26,01,this is for you dad
176,495.46,493.126,"(to the<i> itchy & scratchy</i> theme):
âª he fought and fought âª",26,01,to thei itchy scratchyi theme he fought and fought 
177,497.795,495.462,âª and fought for jewish rights âª,26,01, and fought for jewish rights 
178,499.197,497.797,âª wisdom sought âª,26,01, wisdom sought 
179,500.965,499.199,âª students taught âª,26,01, students taught 
180,504.902,500.967,âª rabbi krustofsky's gone. âª,26,01, rabbi krustofskys gone 
181,508.473,506.473,"Yeah, well, it's just...
Well, i thought...",26,01,yeah well its just well i thought
182,511.376,508.475,"Seriously, it can be really
tough to lose your father.",26,01,seriously it can be really tough to lose your father
183,512.777,511.378,(crying),26,01,crying
184,517.281,515.715,"Rudenstein:
<i>Yasher co-ack.</i>",26,01,rudenstein iyasher coacki
185,519.417,517.283,Let us all please rise.,26,01,let us all please rise
186,522.253,520.653,"(snoring)
homer, get up.",26,01,snoring homer get up
187,524.522,523.156,"Huh? Oh, uh...",26,01,huh oh uh
188,527.025,524.524,(grunting),26,01,grunting
189,528.359,527.027,Oh! Oh!,26,01,oh oh
190,530.561,528.361,"Ooh!
(panting)",26,01,ooh panting
191,532.397,530.563,"Dad, are you okay?",26,01,dad are you okay
192,534.632,532.399,"Yeah, yeah, great. (sighs)",26,01,yeah yeah great sighs
193,537.869,534.634,"I guess my getting-up
days are over.",26,01,i guess my gettingup days are over
194,539.203,537.871,(gasps),26,01,gasps
195,543.041,541.708,(humming a tune),26,01,humming a tune
196,545.176,543.043,"Dad, you're eating
too much.",26,01,dad youre eating too much
197,546.978,545.178,"I'm worried about
your health.",26,01,im worried about your health
198,549.047,546.98,"I don't want
to lose you.",26,01,i dont want to lose you
199,552.717,550.75,"(softly):
Oh, no.",26,01,softly oh no
200,555.486,552.719,"Krusty, i brought some
homemade chicken soup.",26,01,krusty i brought some homemade chicken soup
201,558.423,555.488,"We used the play-doh maker
for the matzo.",26,01,we used the playdoh maker for the matzo
202,561.526,558.425,"Uh, thanks, but i don't
really like soup.",26,01,uh thanks but i dont really like soup
203,564.062,561.528,"But you wear that little spoon
around your neck.",26,01,but you wear that little spoon around your neck
204,565.163,564.064,(chuckles),26,01,chuckles
205,566.831,565.165,"You really notice
stuff, don't you?",26,01,you really notice stuff dont you
206,569.534,566.833,"Yes. And i can tell
how hard it was",26,01,yes and i can tell how hard it was
207,571.002,569.536,To lose your father.,26,01,to lose your father
208,573.604,571.004,"But at least you were there
to share his final thoughts.",26,01,but at least you were there to share his final thoughts
209,574.772,573.606,Eh.,26,01,eh
210,576.741,574.774,"No, no, it's a big thing.",26,01,no no its a big thing
211,578.076,576.743,"No, that's what he called me.",26,01,no thats what he called me
212,579.343,578.078,"""eh.""",26,01,eh
213,581.245,579.345,Mm. It could be worse.,26,01,mm it could be worse
214,582.547,581.247,"Oh, yeah? How?",26,01,oh yeah how
215,583.581,582.549,"I don't know, uh...",26,01,i dont know uh
216,585.349,583.583,"How about...
(blows raspberry)",26,01,how about blows raspberry
217,586.918,585.351,That's a lot worse.,26,01,thats a lot worse
218,589.053,586.92,"Can you stop
comforting me now?",26,01,can you stop comforting me now
219,592.523,589.055,"Krusty, condolences
on your loss.",26,01,krusty condolences on your loss
220,595.46,592.525,So this is the bob,26,01,so this is the bob
221,600.698,595.462,"Whose comedic genius
i can never live up to.",26,01,whose comedic genius i can never live up to
222,604.435,600.7,"Believe me, all of us
have thought about killing him.",26,01,believe me all of us have thought about killing him
223,606.17,604.437,(sighs),26,01,sighs
224,611.776,610.31,"Clowns have it tough,
krusty.",26,01,clowns have it tough krusty
225,613.911,611.778,"I understand.
I was professor pickles",26,01,i understand i was professor pickles
226,616.447,613.913,"With ringling brothers
for several years.",26,01,with ringling brothers for several years
227,618.149,616.449,"The elephant and i
had our differences.",26,01,the elephant and i had our differences
228,619.417,618.151,"So,",26,01,so
229,621.619,619.419,"What brings you here?
And don't say clown car.",26,01,what brings you here and dont say clown car
230,624.555,621.621,"I'm a sad, tragic clown.",26,01,im a sad tragic clown
231,626.791,624.557,"Like what's his
name-- liberace.",26,01,like whats his name liberace
232,629.026,626.793,"Tell me about
your father, huh?",26,01,tell me about your father huh
233,632.797,630.997,Ah!,26,01,ah
234,635.266,632.799,"Herschel, did you
read your exodus?",26,01,herschel did you read your exodus
235,637.101,635.268,"Oh, uh, oh, sure.",26,01,oh uh oh sure
236,640.171,637.103,"Really? Then tell me,
what did the burning bush say?",26,01,really then tell me what did the burning bush say
237,641.772,640.173,"It said ""ow! Put me out!",26,01,it said ow put me out
238,644.308,641.774,"How many talking bushes
do you think there are?!""",26,01,how many talking bushes do you think there are
239,645.276,644.31,(laughs),26,01,laughs
240,647.945,645.278,"My son, you are a
big needy nothing",26,01,my son you are a big needy nothing
241,649.447,647.947,"That only
laughs can fill.",26,01,that only laughs can fill
242,651.649,649.449,"(scoffs)
i don't need laughs.",26,01,scoffs i dont need laughs
243,652.683,651.651,Ha.,26,01,ha
244,654.919,652.685,"Oh, thank you. Thank you.",26,01,oh thank you thank you
245,657.655,654.921,"A big needy nothing.
(sniffles)",26,01,a big needy nothing sniffles
246,659.29,657.657,Wow. Wow.,26,01,wow wow
247,661.592,659.292,"Krusty, would you like
a therapy dog?",26,01,krusty would you like a therapy dog
248,663.427,661.594,Yeah. With extra relish!,26,01,yeah with extra relish
249,665.83,663.429,"Hey-hey! I still
got it, huh?",26,01,heyhey i still got it huh
250,668.366,665.832,"Yes, if by ""it""
you mean reflexive denial",26,01,yes if by it you mean reflexive denial
251,669.667,668.368,Of your inner sadness.,26,01,of your inner sadness
252,670.968,669.669,"(sadly):
Hey-hey.",26,01,sadly heyhey
253,672.403,670.97,"Sideshow mel:
<i>Shut up, children.</i>",26,01,sideshow mel ishut up childreni
254,675.139,673.439,"Boys and girls, you know",26,01,boys and girls you know
255,678.376,675.141,"That we've been dark
for a couple of days because",26,01,that weve been dark for a couple of days because
256,681.679,678.378,"Of a tragic loss
in the krustylu family.",26,01,of a tragic loss in the krustylu family
257,683.648,681.681,Now put your hands together,26,01,now put your hands together
258,686.551,683.65,"For the man who's falling apart
before our eyes,",26,01,for the man whos falling apart before our eyes
259,689.554,686.553,Krusty the clown!,26,01,krusty the clown
260,691.055,689.556,(kids cheering),26,01,kids cheering
261,693.291,691.057,(jaunty theme music plays),26,01,jaunty theme music plays
262,697.595,694.661,No monologue. Roll the cartoon.,26,01,no monologue roll the cartoon
263,700.765,698.631,(swing creaking),26,01,swing creaking
264,705.536,703.636,"Oh, my god!",26,01,oh my god
265,708.873,705.538,"Who made
this monstrosity?",26,01,who made this monstrosity
266,710.408,708.875,I did everything!,26,01,i did everything
267,714.312,710.41,"Kids, i'm experiencing
a crisis of conscience.",26,01,kids im experiencing a crisis of conscience
268,715.913,714.314,(canned applause),26,01,canned applause
269,717.381,715.915,"No, no, no, no!",26,01,no no no no
270,720.718,717.383,"I don't deserve the prerecorded
applause of children long gone.",26,01,i dont deserve the prerecorded applause of children long gone
271,723.354,720.72,"(canned applause)
kid: I like ike!",26,01,canned applause kid i like ike
272,725.69,723.356,"Therefore,
i'm quitting the show.",26,01,therefore im quitting the show
273,728.025,725.692,"And i know mel
will be quitting it with me.",26,01,and i know mel will be quitting it with me
274,730.394,728.027,"Yes, yes, buy the house.
It'll be...",26,01,yes yes buy the house itll be
275,732.063,730.396,"Uh, what?!",26,01,uh what
276,734.498,732.065,"Today is the day
the pity laughter died.",26,01,today is the day the pity laughter died
277,736.601,734.5,Krusty the clown has retired.,26,01,krusty the clown has retired
278,739.17,736.603,"For a brief overview
of a half-century of ha-has,",26,01,for a brief overview of a halfcentury of hahas
279,742.006,739.172,"Here is channel six
tv critic clive meriwether.",26,01,here is channel six tv critic clive meriwether
280,744.675,742.008,"Krusty the clown
will perhaps best be remembered",26,01,krusty the clown will perhaps best be remembered
281,748.045,744.677,"For taking up two spots
in the channel six parking lot.",26,01,for taking up two spots in the channel six parking lot
282,752.016,748.047,"On a personal level, he used to
call me little lord tingaling.",26,01,on a personal level he used to call me little lord tingaling
283,753.517,752.018,I shan't miss that.,26,01,i shant miss that
284,756.721,753.519,"This man's only lasting legacies
are a law in his name",26,01,this mans only lasting legacies are a law in his name
285,760.524,756.723,"Limiting the working hours
of chimpanzees to 14 hours a day",26,01,limiting the working hours of chimpanzees to 14 hours a day
286,762.76,760.526,"And the invention
of the payment of alimony",26,01,and the invention of the payment of alimony
287,765.129,762.762,"By dropping hot pennies
from a helicopter.",26,01,by dropping hot pennies from a helicopter
288,767.198,765.131,I give his life a d-plus.,26,01,i give his life a dplus
289,769.066,767.2,Good day to you.,26,01,good day to you
290,770.368,769.068,What will krusty do now?,26,01,what will krusty do now
291,772.403,770.37,I suppose only time will tell.,26,01,i suppose only time will tell
292,774.772,772.405,"Which is true
for all news stories, i guess.",26,01,which is true for all news stories i guess
293,776.04,774.774,"Until anyone realizes,",26,01,until anyone realizes
294,778.442,776.042,"I'm kent brockman
adding no useful information.",26,01,im kent brockman adding no useful information
295,780.378,778.444,And here's another sentence.,26,01,and heres another sentence
296,783.447,780.38,"You can tell i'm winding it up
because my voice is going<i> up</i>",26,01,you can tell im winding it up because my voice is goingi upi
297,785.883,783.449,And<i> down</i> like this.,26,01,andi downi like this
298,789.654,786.719,"Well, at least now
i have plenty of time",26,01,well at least now i have plenty of time
299,791.989,789.656,To solve this rubik's cube.,26,01,to solve this rubiks cube
300,793.891,791.991,"All right, what if i did...",26,01,all right what if i did
301,795.86,793.893,Oh!,26,01,oh
302,802.266,800.099,(homer snoring unevenly),26,01,homer snoring unevenly
303,804.935,802.268,"(snoring, gasping)",26,01,snoring gasping
304,806.337,804.937,"(quietly):
Mom, dad.",26,01,quietly mom dad
305,807.605,806.339,"Yes, lisa?",26,01,yes lisa
306,809.073,807.607,"(snores)
what?",26,01,snores what
307,811.175,809.075,"I've been listening,
and dad stops breathing",26,01,ive been listening and dad stops breathing
308,813.744,811.177,"For as long as
five minutes.",26,01,for as long as five minutes
309,816.58,813.746,"Mind if i sleep with you guys
and keep an eye on him?",26,01,mind if i sleep with you guys and keep an eye on him
310,819.65,816.582,"Sweetie, you shouldn't have
to worry about such things.",26,01,sweetie you shouldnt have to worry about such things
311,822.453,819.652,"(gasps, snores,
wheezing)",26,01,gasps snores wheezing
312,824.955,822.455,"The doctor gave us this machine
to help him breathe",26,01,the doctor gave us this machine to help him breathe
313,826.257,824.957,In his sleep. Go to bed.,26,01,in his sleep go to bed
314,827.992,826.259,I'll take care of him.,26,01,ill take care of him
315,830.261,828.928,No good. No good.,26,01,no good no good
316,831.796,830.263,"(grunting)
oh! Ooh! Ah!",26,01,grunting oh ooh ah
317,833.931,831.798,"(gasping)
what do i do?
What do i do?",26,01,gasping what do i do what do i do
318,837.034,833.933,"Oh. Breathe,
homie, breathe.",26,01,oh breathe homie breathe
319,839.236,837.036,(grunting),26,01,grunting
320,854.285,851.617,"Well, at least
teeny's doing okay.",26,01,well at least teenys doing okay
321,857.121,854.287,"He's in<i> the odd couple</i>
with david hyde pierce.",26,01,hes ini the odd couplei with david hyde pierce
322,859.79,857.123,"Now, really, oscar, would it
kill you to use a coaster?",26,01,now really oscar would it kill you to use a coaster
323,862.66,859.792,(screeching),26,01,screeching
324,866.263,862.662,"If you're going to go up there,
at least dust!",26,01,if youre going to go up there at least dust
325,870.735,867.367,"Finally, done the way
i first imagined it.",26,01,finally done the way i first imagined it
326,873.037,870.737,"I'm gonna prove
you did groundbreaking work.",26,01,im gonna prove you did groundbreaking work
327,874.705,873.039,"Krusty, i want you
to binge-watch",26,01,krusty i want you to bingewatch
328,876.707,874.707,All the shows you've ever done.,26,01,all the shows youve ever done
329,880.211,876.709,"Well, i've never
said no to a binge.",26,01,well ive never said no to a binge
330,881.078,880.213,(static crackles),26,01,static crackles
331,882.813,881.08,Deuteronomy?,26,01,deuteronomy
332,884.749,882.815,Isn't that the study of deuters?,26,01,isnt that the study of deuters
333,886.183,884.751,Hippocampus?,26,01,hippocampus
334,889.42,886.185,"Isn't that another name for
the university of mississippi?",26,01,isnt that another name for the university of mississippi
335,890.888,889.422,"Okay. I've been
on 50 years.",26,01,okay ive been on 50 years
336,893.023,890.89,"You're bound
to repeat yourself a little.",26,01,youre bound to repeat yourself a little
337,896.026,893.025,"Unless i wanted to be sat on
by mama cass.",26,01,unless i wanted to be sat on by mama cass
338,899.196,896.028,"Unless i wanted to be sat on
by dom deluise.",26,01,unless i wanted to be sat on by dom deluise
339,901.532,899.198,"...By the cast of
<i>what's happening!</i>",26,01,by the cast of iwhats happeningi
340,903.768,901.534,"...William ""the refrigerator""
perry, everyone!",26,01,william the refrigerator perry everyone
341,905.903,903.77,...Newman from<i> seinfeld.</i>,26,01,newman fromi seinfeldi
342,907.705,905.905,...The whale from<i> whale rider.</i>,26,01,the whale fromi whale rideri
343,910.007,907.707,"...Adele!
(laughs)",26,01,adele laughs
344,912.009,910.009,What? She's a guest star?!,26,01,what shes a guest star
345,913.944,912.011,(sobbing),26,01,sobbing
346,915.446,913.946,(groans),26,01,groans
347,917.081,915.448,(static hissing),26,01,static hissing
348,920.785,917.083,"So that's why all
my cameramen have ptsd.",26,01,so thats why all my cameramen have ptsd
349,922.92,920.787,Where's my whiskey funnel?!,26,01,wheres my whiskey funnel
350,925.556,922.922,"(german accent):
Young man, you should go.",26,01,german accent young man you should go
351,929.026,925.558,"When the master is like this,
it is no place for children.",26,01,when the master is like this it is no place for children
352,930.694,929.028,"Pour, helga!",26,01,pour helga
353,932.43,930.696,It begins.,26,01,it begins
354,934.999,932.432,(gulping),26,01,gulping
355,941.372,939.205,(angelic choir singing),26,01,angelic choir singing
356,945.409,942.608,Whoa. Where am i?,26,01,whoa where am i
357,947.044,945.411,"Why, you're in
jewish heaven.",26,01,why youre in jewish heaven
358,948.245,947.046,"Oh, this place is great.",26,01,oh this place is great
359,950.648,948.247,"Why, my necktie
straightens itself.",26,01,why my necktie straightens itself
360,953.584,950.65,Even portnoy has no complaints.,26,01,even portnoy has no complaints
361,956.287,953.586,"And i tell you,
i get so much respect.",26,01,and i tell you i get so much respect
362,958.889,956.289,Wow. So i made it to heaven.,26,01,wow so i made it to heaven
363,960.658,958.891,(klezmer playing),26,01,klezmer playing
364,966.697,964.497,(crowd cheering),26,01,crowd cheering
365,973.337,971.404,This place is amazing!,26,01,this place is amazing
366,976.073,973.339,"Schmuck,
there's no jewish heaven.",26,01,schmuck theres no jewish heaven
367,978.175,976.075,"Our faith teaches us
that once you're dead,",26,01,our faith teaches us that once youre dead
