,end,filename,start,text,speaker
109,354180,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,352647,I want to know what happens next.,Lisa
110,355482,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,354248,"Well, I don't.",Homer
111,357317,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,355549,The motto of the Simpsons is:,Homer
112,358785,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,357385,"""Quit while you're ahead.""",Homer
113,360253,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,358853,I made it into a sampler.,Marge
114,364090,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,362223,"It's like when your
father and I left",Marge
115,367060,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,364158,"<i>the movie Carrie right after she
was crowned prom queen.</i>",Marge
116,369095,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,367128,She was so happy.,Marge
117,371631,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,369163,"She had a lot of problems,
but they were all behind her.",Marge
118,372966,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,371699,"But, but, but-but-but...",Lisa
119,374434,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,373034,"Time for bed, sweetie.",UNKNOWN
120,375402,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,374502,(grunts in protest),NONE
121,380473,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,376737,"<i>ELIZA: Lisa. Lisa, it's me.</i>",UNKNOWN
122,382642,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,380541,"<i>Eliza, the one good Simpson.</i>",Diary
123,385245,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,382710,<i>I've got so much more to tell you.</i>,Diary
124,391384,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,389216,I must know.,Lisa
125,396289,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,395122,(panting),NONE
126,400093,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,398492,(humming),NONE
127,406032,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,403264,You still reading that thing?,Homer
128,409035,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,406100,"I'm warning you: When
something goes into that vent,",Homer
129,410637,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,409103,it shouldn't come out...,Homer
130,412605,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,410705,ever.,Homer
131,414607,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,412673,"<i>Well, I am reading it,
and when I'm finished,</i>",Lisa
132,416543,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,414675,I'm going to use Eliza's diary,Lisa
133,418611,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,416610,"for my ""Black History
Month"" presentation.",Lisa
134,420146,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,418679,"Ooh, good idea.",Marge
135,422449,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,420214,"Bart, what are you doing
for Black History Month?",Marge
136,425085,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,422516,"I got an idea:
You can march to Selma,",Homer
137,426286,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,425152,and tell her she's ugly!,Homer
138,427587,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,426354,(laughs),NONE
139,429089,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,427655,(gags),NONE
140,432692,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,430458,"Listen. ""April 20, 1860.",Lisa
141,435695,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,432760,"""A week ago, I had no idea
what the future would bring,",Lisa
142,438298,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,435763,"""which, I guess, is always
true of everyone all the time.",Lisa
143,440066,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,438366,"""Anyway, last Saturday night,",Lisa
144,441568,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,440134,"I went to Colonel Burns's ball.""",Lisa
145,448575,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,445806,"(""Blue Danube Waltz"" playing)",NONE
146,455515,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,452613,"I don't like this new Viennese
dance craze, ""the waltz.""",Colonel Burns
147,457183,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,455583,"One, two, three, one, two, three...",Colonel Burns
148,460153,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,457251,"Where's the ""four""?
All music needs a four!",Colonel Burns
149,463056,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,460221,"I'll have the orchestra adjust
its time signature, sir.",Smithers
150,464791,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,463124,See that you do.,Colonel Burns
151,466559,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,464859,* *,UNKNOWN
152,467994,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,466627,(whispering),NONE
153,472732,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,471198,(music switches to four-four time),NONE
154,476302,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,474101,(all clamoring),NONE
155,478338,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,476370,"<i>ELIZA: In the confusion,
I slipped out of the ball</i>",UNKNOWN
156,479939,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,478406,"<i>and made my way to the stables,</i>",Eliza
157,484110,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,480007,"<i>where I was to meet Mr.
Burns's slave, Virgil.</i>",Eliza
158,488181,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,484178,"<i>But when I got to the stables,
he was nowhere to be seen.</i>",Eliza
159,490550,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,488249,Virgil?,Eliza
160,491551,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,490618,"Virgil, let's go.",Eliza
161,492819,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,491619,(screeching),NONE
162,494120,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,492887,(screaming),NONE
163,495021,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,494188,(grunts),NONE
164,500126,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,498125,"You look like you could
use a little help.",Virgil
165,502295,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,500194,"Actually, I'm here to help you.",Lisa
166,505065,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,502363,"Follow me north to freedom.
I don't think so.",Lisa
167,507100,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,505132,"Why? Because I'm young
and I'm a woman?",Lisa
168,508668,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,507168,"No, because you're pointing south.",Virgil
169,510236,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,508736,(sheepish chuckle),NONE
170,512338,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,510304,"Oh, right, right. Sorry.",Lisa
171,514107,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,512406,It's my first time.,Lisa
172,516676,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,514175,That's all right. It's my 14th.,Virgil
173,518711,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,516744,"<i>As we made our way northward,</i>",Eliza
174,520613,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,518779,<i>a couple of patrollers spotted us.</i>,Eliza
175,522782,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,520681,"Well, well, well.",Man
176,524818,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,522850,Where do you think you're going?,Man
177,526152,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,524885,(gasps) (gasps) Run!,Lisa
178,527821,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,526220,After them! Obviously.,Man
179,529856,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,527888,"Well, you didn't say it.",Man 2
180,531591,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,529924,(horses neighing),NONE
181,533493,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,531659,"<i>Hearts pounding,
we fled into the woods,</i>",Eliza
182,535095,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,533561,<i>but their horses were fast.</i>,Eliza
183,538698,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,537631,(horses neighing),NONE
184,552846,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,551212,<i>Escape seemed impossible.</i>,Eliza
185,554280,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,552913,(neighing),NONE
186,555782,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,554348,(crumbling),NONE
187,557550,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,555850,<i>MARGE: What happened next?</i>,Marge
188,560353,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,557618,"Uh, bu... That's all theres.",Lisa
189,562422,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,560421,"The rest of the diary
has turned to dust.",Lisa
190,564124,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,562490,"(sniffs, sneezes)",NONE
191,566359,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,564191,(snapping),NONE
192,570263,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,566427,"Oh! I'll never know if Eliza
got Virgil safely to freedom.",Lisa
193,572098,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,570331,"Cheer up, sweetie.",Marge
194,574601,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,572166,"Maybe we can find the
answer in the library.",Marge
195,576336,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,574668,To the reference desk!,Lisa
196,579439,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,577705,The library?,Homer
197,581941,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,579507,"Bart, can you believe we're
married to those nerds?",Homer
198,583776,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,582009,(both laugh),NONE
199,585245,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,583844,<i>LIBRARIAN: There are no books</i>,UNKNOWN
200,588348,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,585312,"about an Eliza Simpson,
but I did find this.",Librarian
201,589749,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,588415,"MARGE: Ooh, a cookbook.",Marge
202,590950,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,589817,(Marge gasps),NONE
203,593286,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,591018,That's Eliza's mother!,Lisa
204,595255,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,593354,"Martha, you are the best!",Lisa
205,599959,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,597591,"MARGE: ""Pork Butt in Cream,
"" ""Snout-Fried Neck,""",Marge
206,602595,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,600027,"""Frog-Haunch,"" ""Hooves Au Jus,""",Marge
207,604397,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,602663,"""Possum Pouch Pie...""",Marge
208,606900,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,604465,Please don't make those recipes.,Lisa
209,608701,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,606967,This one doesn't sound roadkill-y.,Marge
210,610503,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,608769,And it comes with a story.,Marge
211,613339,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,610571,"""Many years ago,
my daughter, Eliza,",Marge
212,616743,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,613407,"brought a runaway slave,
Virgil, to the house.""",Marge
213,619746,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,616810,"(gasps) They made it
back to the house?! How?",Lisa
214,624417,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,619813,"<i>MARGE: The patrollers were too
fast for Eliza and Virgil.</i>",Marge
215,629189,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,627121,(owl hooting),NONE
216,633426,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,629256,"<i>Luckily, they chanced upon a
traveling circus...</i>",Marge
217,639599,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,636130,"<i>...where they were helped by a crusty,
old clown.</i>",UNKNOWN
218,642835,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,639667,"A little schmutz,
a little schmear, and presto!",Krusty
219,645338,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,642903,"You're part of the
under-clown railroad.",Krusty
220,647407,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,645406,"So, you got any talent?",Krusty
221,649709,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,647474,"Well, I am a bit musical.",Clown
222,653413,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,649777,* The sun shines bright *,Hiram
223,657784,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,653480,* On my old Kentucky home. *,Clown
224,660720,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,657851,"Rule number one:
never be better than me.",Krusty
225,662188,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,660788,And I'm pretty bad.,Krusty
226,669562,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,667861,Nothing to see here--,Krusty
227,672432,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,669630,"just a couple of clowns,
and the world's youngest bearded lady.",Krusty
228,674334,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,672499,That I is.,Lisa as bearded lady
229,680373,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,676971,"Look at her any longer,
you're gonna have to pay a nickel.",Krusty
230,682475,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,680441,Why do I always ask for a nickel?,Krusty
231,684811,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,682543,That's like 20 bucks in 2010 money.,Krusty
232,689115,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,686413,Wait! All that was in the recipe?,Lisa
233,691784,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,689183,It was a footnote. See?,Marge
234,695521,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,691852,"""Anyway, I was very proud of Eliza,
but my husband Hiram",Marge
235,697390,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,695589,"had not quite caught
abolition fever.""",Marge
236,699559,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,697458,"Uh-uh, no way.",Hiram
237,701461,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,699627,He'll get me in trouble.,Hiram
238,703730,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,701528,"Maybe you'll change
your mind about me",Virgil
239,706432,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,703797,"after you try some
of my wheel cakes.",Virgil
240,707867,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,706500,Wheel cakes?,Hiram
241,710370,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,707935,"They're just
honey-sweetened batter...",Virgil
242,711504,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,710437,Go on.,Hiram
243,713239,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,711572,...deep-fried in hog lard.,Virgil
